"MOM LOVES IT. Lasts her 1 year. Macy's used to rob me for $80-90 every time I bought this for Mom for Christmas.THANKS FOR THE GREAT PRICE AMAZON, with the money I saved I bought myself a Christmas Present onAMAZON.",5.0
"Been using this perfume for years. Also used to pay too much for them as I used to buy it from Macy's or Nordstrom's. Not too many places carry this.Also, the ONLY perfume that does not make my allergies go haywire. Can't use the other EL fragrances and walking through the cosmetic counter in the mall or store is horrible for me.Great price.",5.0
My daughter's favorite perfume that I have been buying for her for years.,5.0
I love the way this fragrance smells. I feel so feminine wearing it. I spray just a little and it last for the whole day. It smells clean and airly.,5.0
On time delivery and reasonable price,5.0
"Arrived quickly and in perfect condition. Bought as a Christmas gift, and I know she will love it because it's one of her favorite perfumes!",5.0
"I received this smaller bottle very quickly, nice fine mist softer side of fragrance. Good for traveling or carry on~",5.0
"I ONLY GAVE IT 4 STARS BECAUSE THE SCENT DOES NOT LAST ,I have used this fragrance for many years,so I am thinking  a knock off ??",4.0
"I thought this would for sure be a fake, but I was wrong. The price can’t be beat and the smell is amazing on any age.",5.0
My wife likes this perfume.,5.0
For my daughters Christmas gift she’s gonna Love it and the price was great! Great seller and great product!,5.0
Mom s favorite,5.0
Of course this is my signature so I love it  really liked he price 20 dollars cheaper thank you Amazon,5.0
Perfect!,5.0
bought it for mom and she loves it ... it's Estee Lauder would you expect anything else?,5.0
"My Mom got me the Pleasures for Men, a long time ago, and thought it was pretty good stuff. I'm buying this as a C-Mas present for my girlfriend.",5.0
Bought it as a gift for Daughter in Law.  She loves it.  Best price here on Amazon.,5.0
"Smells great, the real deal, nicely packaged, lightning  fast service. What else can I say? Very, very pleased!!!!!",5.0
I'm so glad I finally bought a present for myself and got it for a great price.,5.0
"Estee Lauder's Pleasures perfume is one of my all-time favorite scents. When I ran out of it a couple of months ago, I did not feel inclined to go to the mall and so I waited and waited, until I saw that it was being sold here on Amazon. Well, I am happy to report that it is the original Pleasures scent that lasts all-day, literally. The bottle arrived in its original packaging and when I sprayed it, I found that a little goes a long way, just as I remembered it. The scent remained on me all through my work day, and the fresh fragrance did not smell bad at all, as some of the older reviews here state. I'm not sure if this is a vendor issue, but mine smells just as I remember it, and is long-lasting too. The price here, for the largest bottle, is also good value.",5.0
"I am not sure whether it is ""old"" or adulterated but it is quite different from what I remembered.  I might get used to it in time.",3.0
My wife loves this smell and Amazon's price of $47 could not be beat.  I feel much better ordering from Amazon than from eBay where you never know what exactly you'll be getting.,5.0
Great price for a great product.  Highly recommend this seller,5.0
I usually don't wear perfume because strong scents give me a headache. But...I LOVE this perfume- well- actually Eau de parfume. It's the third time I've ordered it. I think I have found my scent for life.,5.0
My only fragrance since 1997. I have been open to others but this is the one I always go back to.,5.0
I really like this perfume and it was a very good price.,5.0
Love the price for such a large bottle. This has been my scent for years.,5.0
"It smell good like always, but it don't last as long, but it don't last like I do when I purchase it from Macy.  But for the price I just spray it again on me hahaha.",3.0
My wife likes this and I can't find it anywhere else.,5.0
I gave this to my mother-in-law for Mother's Day as it is her favorite perfume. I cannot blame her as I have many other friends who would agree to that. Floral and sweet smelling.,5.0
