"Love this stuff. Little goes a long way. Makes my skin feel great and gets off makeup well, as long as it isn't waterproof.",5.0
"this is amazing.... first time I used it, I used too much. You only need a small pearl size drop. I will buy again!",5.0
This is a great facial cleanser. Foams up and leaves face feeling clean and soft.,5.0
I like this cleanser because it is not greasy and washes off easily and has a pleasant subtle smell.It leaves my face feeling softer.,5.0
Great gift for senior.,5.0
Excellent product.,5.0
Very please thank u,5.0
Love this product.  My skin feels very smooth since using this.,5.0
very good,5.0
"Love the feel of this, creamy, only takes a small dot at a time. Generous size, great quality. I always liked this for times of the year when my skin tends to feel dryer, like cold winters",5.0
Ok,5.0
What I really love about  this product is that a little goes a long way. You just have to squeeze a press size amount maybe even smaller in your wet hands and rub and you get a lot of suds from it. I like how it leaves a clean feeling on your face and doesn't really make your face dry like those other washes.,5.0
"Can't say enough about how i love this product! It feels awesome on my skin without leaving it dry after washing with it. Meaning it is very moisturizing and doesn't crack my face off after i am done washing it off. My skin is smooth, happy and supple. I will def be buying it again when i am through with this bottle.",5.0
It kinda burns my face,3.0
"love, love, love. don't ever want to be without it. use it every day. well recommended for all skin types. a must try!",5.0
Love the product make my face smoothly and clean all make up very well.,5.0
"Good face wash: leaves face feeling refreshed and clean. Helps soften skin, but isn't really that hydrated. I like the product, though :)",5.0
Good,4.0
"one of my favorite foamy..clean smelling cleansers.....not available anymore at Estee's counters.I actually ya""hooo""d...when I saw it was available on Amazon",5.0
I love Estee Lauder!,5.0
I have not been able to use this very much.  It's hard as a rock and I can't get it to squeeze out from the tube.  I'll probably have to go to a department store (gasp!) next time.,1.0
The absolute best face wash ever.,5.0
I love this product.It leaves my face feeling soft and also deep cleans any makeup left over.You can't buy it in any more at the cosmetic counters as it has been discontinued.Thank you Amazon for still having this product for sale.,5.0
love it!!!! I will be ordering another one soon,5.0
fantastic is what they say,5.0
"What can I say, it`s estee lauder. It is great for cleanning and taking my make up off. fully recomended.",5.0
"Love this stuff - face is clean and soft, no makeup residue left behind.  Does dry your skin out a bit, use moisturizer afterwards.",5.0
"My wife is very happy with this foam,because in Dominica Rep there are not in the marketby this way is esa y to get.",5.0
This is what I was expecting.,4.0
"The tubes were contained in their own, individual plastic bag and were the perfect gift for my wife!",5.0
Love this product. So soft and smooth!,5.0
One of my favorite Estee Lauder products. Great for my dry skin.,5.0
"I like this, though ""foarmy"" doesn't seem to represent it, to me, anyway.  But I do like the way it cleans my face, anyway.",4.0
Worth for money,5.0
Will definitely order again.,5.0
good stuff,5.0
Love it! Wouldn't use anything else ! LOVE the scent!!,5.0
Love this ...........wonderful,5.0
wonderful  my skin feels so good.  I always use these when the weather starts getting colder.,5.0
My go to cleanser.,5.0
Very good product,5.0
My skin feels clean but soft,5.0
excellent,5.0
Very good facial cleanser. Only takes a very small amount to work up into good lather.,5.0
I love the feel of this cleanser.  My face feels soft and clean after use.,5.0
Good product works well,5.0
Best clean moisture ever!,5.0
As published,4.0
Love it cleansing and gentle.,5.0
My favorite facial cleanser and love the scent.,5.0
Awesome Thank you,5.0
"its very good ,feel clear after use it,not olily  the postal is fast too i will choose it next time",5.0
Good stuff and my face loves it tooooo!,5.0
"A little old,but not fake",4.0
I love it!,5.0
GREAT clean foam!!! I love it!,5.0
good,5.0
good,4.0
"Everything I love goes off the market.  This was the best cleaning product for the face and they changed the formula and it's in a blue tub.  New and improved, NOT!!  I was glad to find these on Amazon.  You only need a little dab and it would foam, just enough.  I don't know why Estee thought it necessary to change something that worked so well.  They should have added a new line, not taken this one off!",5.0
I have been using this product for years. It is really good for dry skin. It makes my skin very fresh.,5.0
I like to use this cleanser but this was expensive than it is sold in the mall. I did not compare the price when I purchase... I am buying next products thru estee lauder online shop.,2.0
It is great for cleaning. I love this product. Have been using for years. Must try it is good for all skin types. Highly recommend this.,5.0
Love everything about this product....starting with the wonderful fragrance to the clean results when finished.  Have been using it for years.,5.0
Best face wash I have used. Got as a gift and have been using ever since for years. you only have to use a tiny bit because it foams up. literally just a tiny amount. mine lasts for months and months almost a year! I have pretty easy skin but can break out with the wrong product. This never makes me break out. It has very fine exfoliate-rs. Almost unnoticeable.,5.0
This cleanser does a good job removing makeup and it doesn't leave your face dry. I don't like the smell of it though and be careful not to get it in your eyes because it hurts! Usually the gentle cleansers I've used don't burn your eyes.,4.0
It is like an older product that I don't think they carry anymore but slays liked this.,5.0
I love this cleansing cream !  Very rich.  You only use a small amount ...so it lasts forever.  And the fragrance is awesome.  Have been using the resilience lift line of EL for years....and not only does it do wonders for this tired old face...but I never get tired of the light fresh  scent.,5.0
Never disappointed with this product.  Always makes my face feel moisturized after washing my makeup off. As a middle aged woman I appreciate a product that does NOT make me feel dried out.,5.0
"Been using this for years, it's an excellent foaming face cleaner that leaves you skin feeling fantastic. Use warm water to open and cleanse your pores, then a final rinse with cold water to close your pores, and tighten your skin.. makes you skin look and feel fabulous!",5.0
I got a 1.7 fluid oz tube of this as a part of an Estee Lauder gift set.  The product comes out as a very thick pearly paste.  Keep in mind- very little of it goes a long way.  It foams up very nicely and imparts a very pleasant delicate scent.  The product rinses off very cleanly and leaves no feeling of residue. My face feels so fresh and clean and I feel like I just treated my face to a mini-spa- in just a few minutes!  I say this is worth the higher price tag because you need to use so little of it.  I will continue using this since I love washing my face with it so much.,5.0
I went shopping yesterday for a new cleanser and thought I'd try this one. I could not have imagined at the time what a good decision it turned out to be. This feels absolutely amazing on your face - it truly is soft and rich and foaming and just lovely. I recommend this 1 million percent and will use it from here on out.,5.0
"It was OLD and expired! It's supposed to be white and creamy, it's was yellow and chunky! Super super disappointed. Will not purchase again. I'll try's and upload a pic as soon as I'm home.",1.0
"I love everything about this product! It's great that you only use very little because it foams up a lot. I use it with my clarisonic and I really like it!! Since you only need to use very little at a time (half of a pea size) I had the same tube for about a year or maybe more! But I do switch to my other Olay face wash sometimes, not a much though. I like the way it smells, it's fresh and clean and after I wash my face it feels very clean.",5.0
"This is a great facial cleanser for someone with normal to dry skin. It is thick and creamy, almost like a lotion. I use this with my clarisonic mia morning and night and my face is always squeaky clean afterwards. It does have a fragrance, so be aware of that if you are someone that is sensitive to scents (I personally love it). I follow up with the Soft Clean toner and I really have been enjoying the combo.",5.0
OMG this product is super good it doesn't just make your face super silky smooth it also makes your pimples and acne disappear you have to use it for a while and it feels weird putting it on but its super good you should wash your face put it on leave it on for 20 minutes or an hour and then wash it out it also to me makes your face look younger and baby soft,5.0
"A girlfriend gave me a tube if this in a present last year and I finally used it all and have just ordered another two tubes, your skin feels really lovely after using itYou definitely only need a small amount so it goes a long way",5.0
Excellent product,5.0
It is the best thing ever for your face! It makes it so damn soft! My face feels softer than before and less dry than before! I got one at Macy's with a gift set! I just love it soooo damn much you guys should TOTALLY buy it!!! ❤❤❤❤💖💖💖💖,5.0
I love this face wash. It leaves behind a yummy pleasant smell and washes nicely. Perfect for those will average skin!,5.0
I love this face cleaner. It smells so good. I will purchase more.,5.0
Very soft on skin i am using it since four years,5.0
I love the smell of it!  A little goes a long way so the tube lasts a really long time!  Works great too!,5.0
